text,source
"Результатами интеллектуальной деятельности и приравненными к ним средствами индивидуализации юридических лиц, товаров, работ, услуг и предприятий, которым предоставляется правовая охрана (интеллектуальной собственностью), являются: 1) произведения науки, литературы и искусства; 2) программы для электронных вычислительных машин (программы для ЭВМ); 3) базы данных; 4) исполнения; 5) фонограммы; 6) сообщение в эфир или по кабелю радио- или телепередач (вещание организаций эфирного или кабельного вещания); 7) изобретения; 8) полезные модели; 9) промышленные образцы; 10) селекционные достижения; 11) топологии интегральных микросхем; 12) секреты производства (ноу-хау); 13) фирменные наименования; 14) товарные знаки и знаки обслуживания; 1) географические указания; 15) наименования мест происхождения товаров; 16) коммерческие обозначения.",ГК РФ ч.4: Статья 1225. п. 1. 
Интеллектуальная собственность охраняется законом.,ГК РФ ч.4: Статья 1225. п. 2. 
"На результаты интеллектуальной деятельности и приравненные к ним средства индивидуализации (результаты интеллектуальной деятельности и средства индивидуализации) признаются интеллектуальные права, которые включают исключительное право, являющееся имущественным правом, а в случаях, предусмотренных настоящим Кодексом, также личные неимущественные права и иные права (право следования, право доступа и другие).",ГК РФ ч.4: Статья 1226.
"Интеллектуальные права не зависят от права собственности и иных вещных прав на материальный носитель (вещь), в котором выражены соответствующие результат интеллектуальной деятельности или средство индивидуализации.",ГК РФ ч.4: Статья 1227. п. 1. 
"Переход права собственности на вещь не влечет переход или предоставление интеллектуальных прав на результат интеллектуальной деятельности или на средство индивидуализации, выраженные в этой вещи, за исключением случая, предусмотренного абзацем вторым пункта 1 статьи 1291 настоящего Кодекса.",ГК РФ ч.4: Статья 1227. п. 2. 
"К интеллектуальным правам не применяются положения раздела II настоящего Кодекса, если иное не установлено правилами настоящего раздела.",ГК РФ ч.4: Статья 1227. п. 3. 
"Автором результата интеллектуальной деятельности признается гражданин, творческим трудом которого создан такой результат. Не признаются авторами результата интеллектуальной деятельности граждане, не внесшие личного творческого вклада в создание такого результата, в том числе оказавшие его автору только техническое, консультационное, организационное или материальное содействие или помощь либо только способствовавшие оформлению прав на такой результат или его использованию, а также граждане, осуществлявшие контроль за выполнением соответствующих работ.",ГК РФ ч.4: Статья 1228. п. 1. 
"Автору результата интеллектуальной деятельности принадлежит право авторства, а в случаях, предусмотренных настоящим Кодексом, право на имя и иные личные неимущественные права. Право авторства, право на имя и иные личные неимущественные права автора неотчуждаемы и непередаваемы. Отказ от этих прав ничтожен. Авторство и имя автора охраняются бессрочно. После смерти автора защиту его авторства и имени может осуществлять любое заинтересованное лицо, за исключением случаев, предусмотренных пунктом 2 статьи 1267 и пунктом 2 статьи 1316 настоящего Кодекса.",ГК РФ ч.4: Статья 1228. п. 2. 
"Исключительное право на результат интеллектуальной деятельности, созданный творческим трудом, первоначально возникает у его автора. Это право может быть передано автором другому лицу по договору, а также может перейти к другим лицам по иным основаниям, установленным законом.",ГК РФ ч.4: Статья 1228. п. 3. 
"Права на результат интеллектуальной деятельности, созданный совместным творческим трудом двух и более граждан (соавторство), принадлежат соавторам совместно.",ГК РФ ч.4: Статья 1228. п. 4. 
"Гражданин или юридическое лицо, обладающие исключительным правом на результат интеллектуальной деятельности или на средство индивидуализации (правообладатель), вправе использовать такой результат или такое средство по своему усмотрению любым не противоречащим закону способом. Правообладатель может распоряжаться исключительным правом на результат интеллектуальной деятельности или на средство индивидуализации (статья 1233), если настоящим Кодексом не предусмотрено иное. Правообладатель может по своему усмотрению разрешать или запрещать другим лицам использование результата интеллектуальной деятельности или средства индивидуализации. Отсутствие запрета не считается согласием (разрешением). Другие лица не могут использовать соответствующие результат интеллектуальной деятельности или средство индивидуализации без согласия правообладателя, за исключением случаев, предусмотренных настоящим Кодексом. Использование результата интеллектуальной деятельности или средства индивидуализации (в том числе их использование способами, предусмотренными настоящим Кодексом), если такое использование осуществляется без согласия правообладателя, является незаконным и влечет ответственность, установленную настоящим Кодексом, другими законами, за исключением случаев, когда использование результата интеллектуальной деятельности или средства индивидуализации лицами иными, чем правообладатель, без его согласия допускается настоящим Кодексом.",ГК РФ ч.4: Статья 1229. п. 1. 
Исключительное право на результат интеллектуальной деятельности или на средство индивидуализации (кроме исключительного права на фирменное наименование) может принадлежать одному лицу или нескольким лицам совместно.,ГК РФ ч.4: Статья 1229. п. 2. 
"В случае, когда исключительное право на результат интеллектуальной деятельности или на средство индивидуализации принадлежит нескольким лицам совместно, каждый из правообладателей может использовать такой результат или такое средство по своему усмотрению, если настоящим Кодексом или соглашением между правообладателями не предусмотрено иное. Взаимоотношения лиц, которым исключительное право принадлежит совместно, определяются соглашением между ними. Распоряжение исключительным правом на результат интеллектуальной деятельности или на средство индивидуализации осуществляется правообладателями совместно, если настоящим Кодексом или соглашением между правообладателями не предусмотрено иное. Доходы от совместного использования результата интеллектуальной деятельности или средства индивидуализации либо от совместного распоряжения исключительным правом на такой результат или на такое средство распределяются между всеми правообладателями в равных долях, если соглашением между ними не предусмотрено иное. Каждый из правообладателей вправе самостоятельно принимать меры по защите своих прав на результат интеллектуальной деятельности или на средство индивидуализации.",ГК РФ ч.4: Статья 1229. п. 3. 
"В случаях, предусмотренных пунктом 3 статьи 1454, пунктом 2 статьи 1466 и пунктом 2 статьи 1518 настоящего Кодекса, самостоятельные исключительные права на один и тот же результат интеллектуальной деятельности или на одно и то же средство индивидуализации могут одновременно принадлежать разным лицам.",ГК РФ ч.4: Статья 1229. п. 4. 
"Ограничения исключительных прав на результаты интеллектуальной деятельности и на средства индивидуализации, в том числе в случае, когда использование результатов интеллектуальной деятельности допускается без согласия правообладателей, но с сохранением за ними права на вознаграждение, устанавливаются настоящим Кодексом. При этом ограничения исключительных прав на произведения науки, литературы и искусства, объекты смежных прав, изобретения и промышленные образцы, товарные знаки устанавливаются с соблюдением условий, предусмотренных абзацами третьим, четвертым и пятым настоящего пункта. Ограничения исключительных прав на произведения науки, литературы или искусства либо на объекты смежных прав устанавливаются в определенных особых случаях при условии, что такие ограничения не противоречат обычному использованию произведений либо объектов смежных прав и не ущемляют необоснованным образом законные интересы правообладателей. Ограничения исключительных прав на изобретения или промышленные образцы устанавливаются в отдельных случаях при условии, что такие ограничения необоснованным образом не противоречат обычному использованию изобретений или промышленных образцов и с учетом законных интересов третьих лиц не ущемляют необоснованным образом законные интересы правообладателей. Ограничения исключительных прав на товарные знаки устанавливаются в отдельных случаях при условии, что такие ограничения учитывают законные интересы правообладателей и третьих лиц.",ГК РФ ч.4: Статья 1229. п. 5. 
"Исключительные права на результаты интеллектуальной деятельности и на средства индивидуализации действуют в течение определенного срока, за исключением случаев, предусмотренных настоящим Кодексом.",ГК РФ ч.4: Статья 1230. п. 1. 
"Продолжительность срока действия исключительного права на результат интеллектуальной деятельности или на средство индивидуализации, порядок исчисления этого срока, основания и порядок его продления, а также основания и порядок прекращения исключительного права до истечения срока устанавливаются настоящим Кодексом.",ГК РФ ч.4: Статья 1230. п. 2. 
"На территории Российской Федерации действуют исключительные права на результаты интеллектуальной деятельности и на средства индивидуализации, установленные международными договорами Российской Федерации и настоящим Кодексом. Личные неимущественные и иные интеллектуальные права, не являющиеся исключительными, действуют на территории Российской Федерации в соответствии с абзацем четвертым пункта 1 статьи 2 настоящего Кодекса.",ГК РФ ч.4: Статья 1231. п. 1. 
"При признании исключительного права на результат интеллектуальной деятельности или на средство индивидуализации в соответствии с международным договором Российской Федерации содержание права, его действие, ограничения, порядок его осуществления и защиты определяются настоящим Кодексом независимо от положений законодательства страны возникновения исключительного права, если таким международным договором или настоящим Кодексом не предусмотрено иное.",ГК РФ ч.4: Статья 1231. п. 2. 
"Не предоставляется правовая охрана в качестве промышленного образца или средства индивидуализации объектам, включающим, воспроизводящим или имитирующим официальные символы, наименования и отличительные знаки либо их узнаваемые части: 1) государственные символы и знаки (флаги, гербы, ордена, денежные знаки и тому подобное); 2) сокращенные или полные наименования международных и межправительственных организаций, их флаги, гербы, другие символы и знаки; 3) официальные контрольные, гарантийные или пробирные клейма, печати, награды и другие знаки отличия.",ГК РФ ч.4: Статья 1231.1. п. 1. 
"Указанные в пункте 1 настоящей статьи официальные символы, наименования и отличительные знаки, их узнаваемые части или имитации могут быть включены в промышленный образец или средство индивидуализации в качестве неохраняемого элемента, если на это имеется согласие соответствующего компетентного государственного органа, органа международной или межправительственной организации.",ГК РФ ч.4: Статья 1231.1. п. 2. 
"В случаях, предусмотренных настоящим Кодексом, исключительное право на результат интеллектуальной деятельности или на средство индивидуализации признается и охраняется при условии государственной регистрации такого результата или такого средства. Правообладатель обязан уведомлять соответственно федеральный орган исполнительной власти по интеллектуальной собственности и федеральный орган исполнительной власти по селекционным достижениям (статья 1246) об изменении относящихся к государственной регистрации результата интеллектуальной деятельности или средства индивидуализации сведений о правообладателе: наименования или имени, места нахождения или места жительства и адреса для переписки. Риск неблагоприятных последствий в случае, если такое уведомление соответствующего федерального органа исполнительной власти не сделано или представлены недостоверные сведения, несет правообладатель. Федеральный орган исполнительной власти по интеллектуальной собственности и федеральный орган исполнительной власти по селекционным достижениям могут вносить изменения в сведения, относящиеся к государственной регистрации результата интеллектуальной деятельности или средства индивидуализации, для исправления очевидных и технических ошибок по собственной инициативе или по просьбе любого лица, предварительно уведомив об этом правообладателя.",ГК РФ ч.4: Статья 1232. п. 1. 
"В случаях, когда результат интеллектуальной деятельности или средство индивидуализации подлежит в соответствии с настоящим Кодексом государственной регистрации, отчуждение исключительного права на такой результат или на такое средство по договору, залог этого права и предоставление права использования такого результата или такого средства по договору, а равно и переход исключительного права на такой результат или на такое средство без договора, также подлежат государственной регистрации, порядок и условия которой устанавливаются Правительством Российской Федерации.",ГК РФ ч.4: Статья 1232. п. 2. 
"Государственная регистрация отчуждения исключительного права на результат интеллектуальной деятельности или на средство индивидуализации по договору, государственная регистрация залога этого права, а также государственная регистрация предоставления права использования такого результата или такого средства по договору осуществляется по заявлению сторон договора. Заявление может быть подано сторонами договора или одной из сторон договора. В случае подачи заявления одной из сторон договора к заявлению должен быть приложен по выбору заявителя один из следующих документов: подписанное сторонами договора уведомление о состоявшемся распоряжении исключительным правом; удостоверенная нотариусом выписка из договора; сам договор. В заявлении сторон договора или в документе, приложенном к заявлению одной из сторон договора, должны быть указаны: вид договора; сведения о сторонах договора; предмет договора с указанием номера документа, удостоверяющего исключительное право на результат интеллектуальной деятельности или на средство индивидуализации. В случае государственной регистрации предоставления права использования результата интеллектуальной деятельности или средства индивидуализации наряду со сведениями, указанными в абзацах седьмом - девятом настоящего пункта, в заявлении сторон договора или в документе, приложенном к заявлению одной из сторон договора, должны быть указаны: срок действия договора, если такой срок определен договором; территория, на которой предоставлено право использования результата интеллектуальной деятельности или средства индивидуализации, если территория определена договором; предусмотренные договором способы использования результата интеллектуальной деятельности или товары и услуги, в отношении которых предоставляется право использования средства индивидуализации; наличие согласия на предоставление права использования результата интеллектуальной деятельности или средства индивидуализации по сублицензионному договору, если согласие дано (пункт 1 статьи 1238); возможность расторжения договора в одностороннем порядке. В случае государственной регистрации залога исключительного права наряду со сведениями, указанными в абзацах седьмом - девятом настоящего пункта, в заявлении сторон договора или в документе, приложенном к заявлению одной из сторон договора, должны быть указаны: срок действия договора залога; ограничения права залогодателя использовать результат интеллектуальной деятельности или средство индивидуализации либо распоряжаться исключительным правом на такой результат или на такое средство.",ГК РФ ч.4: Статья 1232. п. 3. 
"В случае, предусмотренном статьей 1239 настоящего Кодекса, основанием для государственной регистрации предоставления права использования результата интеллектуальной деятельности является соответствующее решение суда.",ГК РФ ч.4: Статья 1232. п. 4. 
"Основанием для государственной регистрации перехода исключительного права на результат интеллектуальной деятельности или на средство индивидуализации по наследству является свидетельство о праве на наследство, за исключением случая, предусмотренного статьей 1165 настоящего Кодекса.",ГК РФ ч.4: Статья 1232. п. 5. 
"При несоблюдении требования о государственной регистрации перехода исключительного права на результат интеллектуальной деятельности или на средство индивидуализации по договору об отчуждении исключительного права или без договора, залога исключительного права либо предоставления другому лицу права использования такого результата или такого средства по договору переход исключительного права, его залог или предоставление права использования считается несостоявшимся.",ГК РФ ч.4: Статья 1232. п. 6. 
"В случаях, предусмотренных настоящим Кодексом, государственная регистрация результата интеллектуальной деятельности может быть осуществлена по желанию правообладателя. В этих случаях к зарегистрированному результату интеллектуальной деятельности и к правам на такой результат применяются правила пунктов 2 - 6 настоящей статьи, если настоящим Кодексом не предусмотрено иное.",ГК РФ ч.4: Статья 1232. п. 7. 
"Правообладатель может распорядиться принадлежащим ему исключительным правом на результат интеллектуальной деятельности или на средство индивидуализации любым не противоречащим закону и существу такого исключительного права способом, в том числе путем его отчуждения по договору другому лицу (договор об отчуждении исключительного права) или предоставления другому лицу права использования соответствующих результата интеллектуальной деятельности или средства индивидуализации в установленных договором пределах (лицензионный договор). Заключение лицензионного договора не влечет за собой переход исключительного права к лицензиату.",ГК РФ ч.4: Статья 1233. п. 1. 
"К договорам о распоряжении исключительным правом на результат интеллектуальной деятельности или на средство индивидуализации, в том числе к договорам об отчуждении исключительного права и к лицензионным (сублицензионным) договорам, применяются общие положения об обязательствах (статьи 307 - 419) и о договоре (статьи 420 - 453), поскольку иное не установлено правилами настоящего раздела и не вытекает из содержания или характера исключительного права.",ГК РФ ч.4: Статья 1233. п. 2. 
"Договор, в котором прямо не указано, что исключительное право на результат интеллектуальной деятельности или на средство индивидуализации передается в полном объеме, считается лицензионным договором, за исключением договора, заключаемого в отношении права использования результата интеллектуальной деятельности, специально созданного или создаваемого для включения в сложный объект (абзац второй пункта 1 статьи 1240).",ГК РФ ч.4: Статья 1233. п. 3. 
"Условия договора об отчуждении исключительного права или лицензионного договора, ограничивающие право гражданина создавать результаты интеллектуальной деятельности определенного рода или в определенной области интеллектуальной деятельности либо отчуждать исключительное право на такие результаты другим лицам, ничтожны.",ГК РФ ч.4: Статья 1233. п. 4. 
"Правообладатель может сделать публично, то есть путем сообщения неопределенному кругу лиц, заявление о предоставлении любым лицам возможности безвозмездно использовать принадлежащие ему произведение науки, литературы или искусства либо объект смежных прав на определенных правообладателем условиях и в течение указанного им срока. В течение указанного срока любое лицо вправе использовать данное произведение или данный объект смежных прав на определенных правообладателем условиях. Заявление делается путем размещения на официальном сайте федерального органа исполнительной власти в сети ""Интернет"". Федеральный орган исполнительной власти, ответственный за размещение соответствующих заявлений, а также порядок и условия их размещения определяются Правительством Российской Федерации. Заявление должно содержать сведения, позволяющие идентифицировать правообладателя и принадлежащие ему произведение или объект смежных прав. При отсутствии в заявлении правообладателя указания на срок считается, что указанный срок составляет пять лет. При отсутствии в заявлении правообладателя указания на территорию считается, что это территория Российской Федерации. В течение срока действия заявление не может быть отозвано и предусмотренные в нем условия использования не могут быть ограничены. Правообладатель не имеет права осуществлять указанные действия при наличии действующего лицензионного договора, по которому предоставляется исключительная лицензия на использование произведения или объекта смежных прав в тех же пределах. В случае, если правообладатель осуществляет данные действия при наличии действующего лицензионного договора, по которому предоставляется возмездная неисключительная лицензия на использование произведения или объекта смежных прав в тех же пределах, действие такого договора прекращается. Правообладатель, сделавший соответствующее заявление при наличии действующего лицензионного договора, должен возместить убытки, причиненные лицензиату. Автор или иной правообладатель в случае, если исключительное право на произведение или на объект смежных прав нарушено неправомерным размещением заявления, сделанного в соответствии с настоящим пунктом, вправе требовать применения к нарушителю мер защиты исключительного права в соответствии со статьей 1252 настоящего Кодекса. Положения настоящего пункта не применяются к открытым лицензиям (статья 1286.1).",ГК РФ ч.4: Статья 1233. п. 5. 
По договору об отчуждении исключительного права одна сторона (правообладатель) передает или обязуется передать принадлежащее ей исключительное право на результат интеллектуальной деятельности или на средство индивидуализации в полном объеме другой стороне (приобретателю).,ГК РФ ч.4: Статья 1234. п. 1. 
"Договор об отчуждении исключительного права заключается в письменной форме. Несоблюдение письменной формы влечет недействительность договора. Переход исключительного права по договору подлежит государственной регистрации в случаях и в порядке, которые предусмотрены статьей 1232 настоящего Кодекса.",ГК РФ ч.4: Статья 1234. п. 2. 
"По договору об отчуждении исключительного права приобретатель обязуется уплатить правообладателю предусмотренное договором вознаграждение, если договором не предусмотрено иное. При отсутствии в возмездном договоре об отчуждении исключительного права условия о размере вознаграждения или порядке его определения договор считается незаключенным. При этом правила определения цены, предусмотренные пунктом 3 статьи 424 настоящего Кодекса, не применяются. Выплата вознаграждения по договору об отчуждении исключительного права может быть предусмотрена в форме фиксированных разовых или периодических платежей, процентных отчислений от дохода (выручки) либо в иной форме.",ГК РФ ч.4: Статья 1234. п. 3. 
"Не допускается безвозмездное отчуждение исключительного права в отношениях между коммерческими организациями, если настоящим Кодексом не предусмотрено иное.",ГК РФ ч.4: Статья 1234. п. 3.1.
"Исключительное право на результат интеллектуальной деятельности или на средство индивидуализации переходит от правообладателя к приобретателю в момент заключения договора об отчуждении исключительного права, если соглашением сторон не предусмотрено иное. Если переход исключительного права по договору об отчуждении исключительного права подлежит государственной регистрации (пункт 2 статьи 1232), исключительное право на такой результат или на такое средство переходит от правообладателя к приобретателю в момент государственной регистрации.",ГК РФ ч.4: Статья 1234. п. 4. 
"При существенном нарушении приобретателем обязанности выплатить правообладателю в установленный договором об отчуждении исключительного права срок вознаграждение за приобретение исключительного права на результат интеллектуальной деятельности или на средство индивидуализации (подпункт 1 пункта 2 статьи 450) прежний правообладатель вправе требовать в судебном порядке перевода на себя прав приобретателя исключительного права и возмещения убытков, если исключительное право перешло к его приобретателю. Если исключительное право не перешло к приобретателю, при существенном нарушении им обязанности выплатить в установленный договором срок вознаграждение за приобретение исключительного права правообладатель может отказаться от договора в одностороннем порядке и потребовать возмещения убытков, причиненных расторжением договора. Договор прекращается по истечении тридцатидневного срока с момента получения приобретателем уведомления об отказе от договора, если в этот срок приобретатель не исполнил обязанность выплатить вознаграждение.",ГК РФ ч.4: Статья 1234. п. 5. 
